timestamp,actual_consumption,actual_pv,price_buy,price_sell,heat_load,cool_load,gas,pv_c
2020-01-05 05:00:00-07:00,687.4888303,-0.075,0.031,0.031,4126.023699,196.0592894,9.51,0
2020-01-05 06:00:00-07:00,1028.844555,-0.075,0.049,0.031,4017.547743,194.3190118,9.51,0
2020-01-05 07:00:00-07:00,1228.943712,-0.075,0.049,0.031,3712.243373,215.6464933,9.51,2.42
2020-01-05 08:00:00-07:00,1221.577526,97.4428514,0.049,0.031,3261.755602,246.569672,9.51,41.58
2020-01-05 09:00:00-07:00,1136.208814,145.4441167,0.049,0.031,2409.492507,330.1887442,9.51,77.88
2020-01-05 10:00:00-07:00,1134.515013,174.6959607,0.049,0.031,1965.925477,364.0122699,9.51,104.94
2020-01-05 11:00:00-07:00,1121.15609,188.6049198,0.049,0.031,1236.296489,369.2078537,9.51,119.46
2020-01-05 12:00:00-07:00,1107.196788,189.1187255,0.049,0.031,959.8294242,356.005893,9.51,120.12
2020-01-05 13:00:00-07:00,1089.489969,175.9247715,0.049,0.031,869.0914954,352.0615411,9.51,107.14
2020-01-05 14:00:00-07:00,1086.308035,147.3405603,0.049,0.031,858.5393034,365.0026904,9.51,81.62
2020-01-05 15:00:00-07:00,1123.75615,101.800068,0.049,0.031,1136.883081,392.0887573,9.51,46.42
2020-01-05 16:00:00-07:00,1240.092464,17.07007897,0.049,0.031,1269.107206,389.9395812,9.51,8.8
2020-01-05 17:00:00-07:00,1446.319033,-0.075,0.049,0.031,1600.798966,378.5293765,9.51,0
2020-01-05 18:00:00-07:00,1359.616976,-0.075,0.049,0.031,1518.444102,368.6054602,9.51,0
2020-01-05 19:00:00-07:00,1353.485054,-0.075,0.049,0.031,1646.622218,362.3003531,9.51,0
2020-01-05 20:00:00-07:00,1151.628172,-0.075,0.049,0.031,1848.440227,358.9880152,9.51,0
2020-01-05 21:00:00-07:00,1066.985353,-0.075,0.049,0.031,1964.191833,356.8258493,9.51,0
